dealership_name,website_url,contact_name,contact_title,contact_email,contact_phone,city,state,oem_brand,dealer_group,estimated_vehicles_sold,current_crm,current_dms,current_credit_provider,source,notes,confidence_score
Sansone Toyota,,,,,,,NJ,Toyota,,,,,,Browserbase_OEM_Toyota,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Route 22 Toyota,,,,,,,NJ,Toyota,,,,,,Browserbase_OEM_Toyota,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Toyota of Hackensack,,,,,,,NJ,Toyota,,,,,,Browserbase_OEM_Toyota,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Toyota World of Lakewood,,,,,,,NJ,Toyota,,,,,,Browserbase_OEM_Toyota,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Dealers near 07001,https://www.planethondanj.com/,,,,,Union,NJ,Honda,,,,,,Browserbase_OEM_Honda,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
Dealers near 07102,https://www.route22honda.com/,,,,,Hillside,NJ,Honda,,,,,,Browserbase_OEM_Honda,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
Dealers near 08501,https://www.hamiltonhonda.com/,,,,,Hamilton,NJ,Honda,,,,,,Browserbase_OEM_Honda,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
Dealers near 07601,https://www.dchparamushonda.com/,,,,,Paramus,NJ,Honda,,,,,,Browserbase_OEM_Honda,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
Dealers near 08701,https://www.hondauniverse.com/,,,,,Lakewood,NJ,Honda,,,,,,Browserbase_OEM_Honda,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
Liccardi Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Maplecrest Ford of Union,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Ford makes no warranties,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Ford reserves the right to change product specifications,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
An activated vehicle modem and the Ford app,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Contact your local Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Ford Licensed Accessories,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Contact your Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
or from Ford Racing,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
please contact the Ford Racing Techline at,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
s Jersey City Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
United Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
17 Rutherford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Haldeman Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Ciocca Ford Lincoln of Lawrenceville,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Johnson Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Fred Beans Ford of Langhorne,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Ford of Englewood,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Paramus Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Seabreeze Ford,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Freehold Ford Inc,,,,,,,NJ,Ford,,,,,,Browserbase_OEM_Ford,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
SANSONE NISSAN,,,,,,,NJ,Nissan,,,,,,Browserbase_OEM_Nissan,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
EMPIRE NISSAN OF HILLSIDE,,,,,,,NJ,Nissan,,,,,,Browserbase_OEM_Nissan,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
S WINDSOR NISSAN,,,,,,,NJ,Nissan,,,,,,Browserbase_OEM_Nissan,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
RIVERSIDE NISSAN,,,,,,,NJ,Nissan,,,,,,Browserbase_OEM_Nissan,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
S 66 NISSAN,,,,,,,NJ,Nissan,,,,,,Browserbase_OEM_Nissan,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Sansones Route 1 Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
5 of 10 matches | 1 | Sansones Route 1 Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Global Hyundai Of North Plainfield,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Lynnes Hyundai Llc,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
5 of 10 matches | 1 | Lynnes Hyundai Llc,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Maxon Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Hyundai Of Trenton,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
5 of 10 matches | 1 | Hyundai Of Trenton,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Burlington Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
City World Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Lester Glenn Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
5 of 10 matches | 1 | Lester Glenn Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Circle Hyundai,,,,,,,NJ,Hyundai,,,,,,Browserbase_OEM_Hyundai,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Sansone Kia,"https://maps.google.com/?dirflg=d&saddr=07001&daddr=90-100 Route 1 ,Avenel, NJ 07001",,,,,Avenel,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
90-100 Route 1,,,,,,Avenel,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
"Avenel,",,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
07001,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
7328150500,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
0.8 Miles Away,"https://maps.google.com/?dirflg=d&saddr=07001&daddr=90-100 Route 1 ,Avenel, NJ 07001",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
1581 Hylan Blvd.,,,,,,Staten Island,NY,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
1581 Hylan Blvd.,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
"Staten Island,",,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
10305,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
7187277000,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
9.7 Miles Away,"https://maps.google.com/?dirflg=d&saddr=07001&daddr=1581 Hylan Blvd. ,Staten Island, NY 10305",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
36 Water Street,,,,,,Jersey City,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
"Jersey City,",,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
07305,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
2014327700,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
4.3 Miles Away,"https://maps.google.com/?dirflg=d&saddr=07102&daddr=36 Water Street ,Jersey City, NJ 07305",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Nutley Kia,http://NUTLEYKIA.COM,,,,,Nutley,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
66 Washington Avenue,,,,,,Nutley,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
"Nutley,",,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
07110,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
9736670500,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
5.3 Miles Away,"https://maps.google.com/?dirflg=d&saddr=07102&daddr=66 Washington Avenue ,Nutley, NJ 07110",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Ciocca Kia,http://CIOCCAKIA.COM,,,,,Ewing,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
1710 N. Olden Avenue,,,,,,Ewing,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
"Ewing,",,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
08638,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
6098832800,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
11.9 Miles Away,"https://maps.google.com/?dirflg=d&saddr=08501&daddr=1710 N. Olden Avenue ,Ewing, NJ 08638",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Raceway Kia of Freehold,http://RACEWAYKIA.COM,,,,,Freehold,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
4044 Route 9 South,,,,,,Freehold,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
07728,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
7324624422,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
16.2 Miles Away,"https://maps.google.com/?dirflg=d&saddr=08501&daddr=4044 Route 9 South ,Freehold, NJ 07728",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Fred Beans Kia of Langhorne,http://FREDBEANSKIALANGHORNE.COM,,,,,Langhorne,PA,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
Fred Beans Kia of Langhorne,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Jack Daniels Kia,http://JACKDANIELSKIA.COM,,,,,Fair Lawn,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
29-09 Broadway,,,,,,Fair Lawn,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
"Fair Lawn,",,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
07410,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
2012541500,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
3.9 Miles Away,"https://maps.google.com/?dirflg=d&saddr=07601&daddr=29-09 Broadway ,Fair Lawn, NJ 07410",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
227 N. Dean Street,,,,,,Englewood,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
07631,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
2015004601,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
4.1 Miles Away,"https://maps.google.com/?dirflg=d&saddr=07601&daddr=227 N. Dean Street ,Englewood, NJ 07631",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Difeo Kia,http://DIFEOKIA.COM,,,,,Lakewood,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
1320 Ocean Avenue,,,,,,Lakewood,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
08701,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
7329947100,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
2.2 Miles Away,"https://maps.google.com/?dirflg=d&saddr=08701&daddr=1320 Ocean Avenue ,Lakewood, NJ 08701",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Matt Blatt Kia of Toms River,http://MATTBLATTKIATR.COM,,,,,Toms River,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
1070 Route 37 West,,,,,,Toms River,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
08755,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
7322810000,,,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
7.3 Miles Away,"https://maps.google.com/?dirflg=d&saddr=08701&daddr=1070 Route 37 West ,Toms River, NJ 08755",,,,,,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Sansone Jr's 66 Kia,http://66KIA.COM,,,,,Neptune,NJ,Kia,,,,,,Browserbase_OEM_Kia,"REP_FILL_IN: contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",85
1501 Route 37 West,https://www.google.com/maps?q=Lester+Glenn+Subaru+08755&sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=Get+Directions,,,,,Toms River,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",80
"Toms River, NJ 08755",,,,,,Toms River,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: website_url, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",55
19 Miles,,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Get Directions,https://www.google.com/maps?q=Lester+Glenn+Subaru+08755&sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=Get+Directions,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",65
View Inventory,https://www.lesterglennsubaru.com/new-inventory/index?sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=View+Inventory,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Visit Website,https://www.lesterglennsubaru.com/?sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=Visit+Website,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Contact and Services,https://www.lesterglennsubaru.com/service/appointment?sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=Schedule+Service,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Contact Phone Number (732) 349-4200 Fax Number,https://www.lesterglennsubaru.com/service/appointment?sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=Schedule+Service,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Contact,,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Phone Number (732) 349-4200 Fax Number,https://www.lesterglennsubaru.com/service/appointment?sd_referrerpage=www.subaru%3Afind%3Aa-retailer&sd_referrercta=Schedule+Service,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",70
Phone Number (732) 349-4200,,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
Phone Number,,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: website_url, city, phone, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
(732) 349-4200,,,,,,,NJ,Subaru,,,,,,Browserbase_OEM_Subaru,"REP_FILL_IN: website_url, city, contact_name, contact_title, contact_email, new_inventory_count, estimated_vehicles_sold | Confidence: low",40
